application_id;composant_id;Commentaire;perimetre_id;type_id;ENVIRONNEMENT;phase_id;USAGE;NOMUSAGE;lot_id;etat_id;DATELIVRAISON;volumetrie_id;Puissance;architecture_id;CONNECT;PVU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;;DSI-T;Laboratoire;LABO2;;LABO303;LABORATOIRE;303;Livré;01/01/2010;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;;DSI-T;Laboratoire;LABO3;;LABO303;LABORATOIRE;303;Livré;01/01/2010;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;;MOA;Formation;FORM1;;FORMATION;FORMATION;302;Désactivé;01/03/2010;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;;MOA;Formation;FORM2;;FORMATION;FORMATION;302;Désactivé;01/03/2010;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORCHESTRAL;WPS/WTX;sur s64lmwbicmh;MOA;Recette;REC-MOA-MCO;;REC-MOA-MCO;REC-MOA-MCO;302;Désactivé;01/09/2010;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORCHESTRAL;WPS/WTX;sur s64lmwbicmh;MOA;Recette;R3B-MCO;;R3B-MCO;R3B-MCO;303;Désactivé;01/09/2010;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COHERENCE;MDM;1 environnement pour 1 compagnie;DSI-T;Intégration;COHINT;;INT;INT;302;Désactivé;01/03/2011;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COHERENCE;MDM;1 environnement pour 1 compagnie;DSI-T;Pré-production;COHPREPROD;;PREPROD;PREPROD;302;Désactivé;01/03/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COHERENCE;MDM;1 environnement pour 1 compagnie;DSI-T;Production;COHPROD;;PROD;PROD;302;Désactivé;01/03/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORCHESTRAL;WPS/WTX;;DSI-T;Pré-production;PREPROD;;PREPROD;PREPROD;302;Désactivé;01/03/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORCHESTRAL;WPS/WTX;;DSI-T;Production;PROD;;PROD;PROD;302;Désactivé;01/03/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;;DSI-T;Intégration;INTEG2;;INTEGRATION;INTEGRATION;302;Désactivé;01/03/2011;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;;MOA;Marche à blanc;MAB2;;MABMCO;MABMCO;302;Désactivé;01/03/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;;DSI-T;Pré-production;PREPROD;;PREPROD;PREPROD;302;Désactivé;01/03/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;;DSI-T;Production;PROD;;PROD;PROD;302;Désactivé;01/03/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;;MOA;Recette;REC3;;RECMCO;RECMCO;302;Désactivé;01/03/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;;MOA;Copie de production;REC5;;COPIEPROD;COPIEPROD;302;Désactivé;01/03/2011;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
